City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,San Policarpo,PH,78.64,broken clouds,12.1791,125.5072,Agapita M. Nicart
427,Osorno,CL,62.91,few clouds,-40.5667,-73.15,Sonesta Hotel Osorno
428,Haimen,CN,51.69,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
432,Atar,MR,79.48,overcast clouds,20.5169,-13.0499,Oumou Elghoura
433,Siva,EG,52.79,broken clouds,29.2041,25.5195,Qasr Alzaytuna Inn
434,Mogadishu,SO,76.89,overcast clouds,2.0371,45.3438,Hotel Juba
435,Tura,IN,51.24,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
438,Natchitoches,US,65.25,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
439,Rawson,AR,59.95,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
440,Les Cayes,HT,73.78,broken clouds,18.2,-73.75,Villa Orphee
441,Jacareacanga,BR,71.44,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
442,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
443,Waingapu,ID,81.23,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
444,Harper,LR,79.23,broken clouds,4.375,-7.7169,Screensaver
445,Bang Len,TH,80.91,scattered clouds,14.0219,100.1718,สบายฟ้าอพาร์ทเม้นท์
447,Bushehr,IR,60.08,overcast clouds,28.9684,50.8385,Yas Hotel
448,Tessalit,ML,67.48,few clouds,20.1986,1.0114,
449,Pemangkat,ID,76.77,overcast clouds,1.1667,108.9667,Ramah Kost KITA
450,Acapulco,MX,81.36,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
452,Kavieng,PG,81.68,light rain,-2.5744,150.7967,Nusa Island Retreat
453,Paita,PE,71.6,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
454,Pacifica,US,66.04,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
457,Iquitos,PE,86.04,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
459,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
460,Hualmay,PE,71.56,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
462,Ruy Barbosa,BR,72.54,scattered clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
463,Santa Cruz,BO,87.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
464,Bulalacao,PH,80.13,few clouds,12.3254,121.3435,By The Sea Hotels
466,Alice Springs,AU,74.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
470,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
472,Da Nang,VN,69.78,mist,16.0678,108.2208,Sun River Hotel
474,Lubango,AO,58.05,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
475,La Reforma,MX,82.09,broken clouds,25.0833,-108.05,Hotel Reforma
478,Itacoatiara,BR,73.51,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
479,Kokstad,ZA,61.11,overcast clouds,-30.5472,29.4241,Majestic Bed and Breakfast
480,Sawakin,SD,68.9,scattered clouds,19.1059,37.3321,فندق الدويم
481,Peniche,PT,55.09,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
483,Rach Gia,VN,71.55,clear sky,10.0167,105.0833,Nhà Hàng Hòa Giang
486,Punta Alta,AR,62.6,broken clouds,-38.8759,-62.0736,Center Hotel Punta Alta
489,Mahibadhoo,MV,81.61,broken clouds,3.7833,72.9667,Omadhoo Inn
490,Wanning,CN,69.44,overcast clouds,18.8003,110.3967,Paradise Hotel
493,Durango,MX,64.99,few clouds,24.8333,-104.8333,
495,Muncar,ID,78.87,overcast clouds,-8.4333,114.3333,Zaky Homestay
496,Wiang Sa,TH,78.42,clear sky,8.6359,99.3666,ชำนาญอินน์
498,Kyabe,TD,74.39,scattered clouds,9.4515,18.9449,
499,Tiznit,MA,60.39,overcast clouds,29.5833,-9.5,
500,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
502,Sibolga,ID,75.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
506,Kieta,PG,84.99,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
508,King City,US,64.81,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
511,Porto Santo,PT,64.31,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
512,Half Moon Bay,US,66.79,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
514,Padang,ID,73.45,heavy intensity rain,-0.9492,100.3543,Mercure Padang
